!Thresh(eV)                 0.0                         0.02                        0.29                        0.291                       0.59                        0.88                        1.17                        1.47                        1.76                        11.03                       11.87                       12.25                       13.0                        2.06                        2.35                        6.17                        7.0                         7.35                        7.36                        7.8                         8.16                        8.4                         8.55                        8.89                        15.6                        18.8                        
!Reaction                   e+N2(X1)->e+N2(X1)          e+N2(X1)->e+N2(Rot)         e+N2(X1)->e+N2(v1)          e+N2(X1)->e+N2(v1res)       e+N2(X1)->e+N2(v2)          e+N2(X1)->e+N2(v3)          e+N2(X1)->e+N2(v4)          e+N2(X1)->e+N2(v5)          e+N2(X1)->e+N2(v6)          e+N2(X1)->e+N2(C3)          e+N2(X1)->e+N2(e3)          e+N2(X1)->e+N2(a''1)        e+N2(X1)->e+N2(SUM)         e+N2(X1)->e+N2(v7)          e+N2(X1)->e+N2(v8)          e+N2(X1)->e+N2(A3,v0-4)     e+N2(X1)->e+N2(A3,v5-9)     e+N2(X1)->e+N2(B3)          e+N2(X1)->e+N2(W3)          e+N2(X1)->e+N2(A3,v10-)     e+N2(X1)->e+N2(B'3)         e+N2(X1)->e+N2(a'1)         e+N2(X1)->e+N2(a1)          e+N2(X1)->e+N2(w1)          e+N2(X1)->e+e+N2(X2:ion)    e+N2(X1)->e+e+N2(X2:ion:B2SIGMA)
!Type                       Effective                   Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Ionization                  Ionization                  
!<E> (eV)                   Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8.479e+00                   1.669e-13                   9.947e-16                   5.524e-17                   1.834e-15                   5.765e-16                   2.164e-15                   1.287e-15                   8.663e-16                   5.913e-16                   4.963e-16                   4.193e-16                   1.927e-15                   3.379e-17                   1.194e-16                   2.567e-15                   2.285e-16                   1.094e-16                   1.059e-16                   4.423e-16                   1.386e-15                   1.373e-15                   4.228e-16                   4.118e-16                   3.253e-16                   1.077e-15                   3.957e-16
9.022e+00                   1.695e-13                   1.330e-15                   7.740e-17                   1.705e-15                   6.069e-16                   2.008e-15                   1.197e-15                   8.036e-16                   5.504e-16                   4.624e-16                   3.918e-16                   2.139e-15                   3.761e-17                   1.392e-16                   3.223e-15                   2.148e-16                   1.031e-16                   1.146e-16                   4.807e-16                   1.479e-15                   1.500e-15                   4.621e-16                   4.475e-16                   3.525e-16                   1.211e-15                   4.254e-16
9.555e+00                   1.718e-13                   1.712e-15                   1.036e-16                   1.593e-15                   6.350e-16                   1.872e-15                   1.116e-15                   7.491e-16                   5.144e-16                   4.327e-16                   3.672e-16                   2.331e-15                   4.062e-17                   1.582e-16                   3.924e-15                   2.022e-16                   9.721e-17                   1.225e-16                   5.154e-16                   1.561e-15                   1.613e-15                   4.978e-16                   4.794e-16                   3.766e-16                   1.338e-15                   4.512e-16
1.008e+01                   1.738e-13                   2.138e-15                   1.336e-16                   1.490e-15                   6.610e-16                   1.751e-15                   1.041e-15                   6.983e-16                   4.794e-16                   4.048e-16                   3.447e-16                   2.503e-15                   4.392e-17                   1.764e-16                   4.666e-15                   1.899e-16                   9.157e-17                   1.297e-16                   5.468e-16                   1.633e-15                   1.714e-15                   5.302e-16                   5.079e-16                   3.981e-16                   1.459e-15                   4.737e-16
1.060e+01                   1.756e-13                   2.605e-15                   1.673e-16                   1.403e-15                   6.846e-16                   1.645e-15                   9.810e-16                   6.569e-16                   4.524e-16                   3.815e-16                   3.251e-16                   2.657e-15                   4.663e-17                   1.936e-16                   5.437e-15                   1.798e-16                   8.692e-17                   1.360e-16                   5.748e-16                   1.696e-15                   1.803e-15                   5.592e-16                   5.331e-16                   4.170e-16                   1.573e-15                   4.929e-16
1.111e+01                   1.772e-13                   3.110e-15                   2.044e-16                   1.321e-15                   7.061e-16                   1.548e-15                   9.199e-16                   6.166e-16                   4.243e-16                   3.592e-16                   3.067e-16                   2.795e-15                   4.910e-17                   2.098e-16                   6.235e-15                   1.697e-16                   8.208e-17                   1.418e-16                   6.001e-16                   1.751e-15                   1.882e-15                   5.855e-16                   5.557e-16                   4.338e-16                   1.681e-15                   5.096e-16
1.162e+01                   1.786e-13                   3.651e-15                   2.447e-16                   1.249e-15                   7.256e-16                   1.463e-15                   8.716e-16                   5.831e-16                   4.024e-16                   3.401e-16                   2.905e-16                   2.918e-15                   5.141e-17                   2.249e-16                   7.052e-15                   1.612e-16                   7.819e-17                   1.469e-16                   6.227e-16                   1.800e-15                   1.951e-15                   6.091e-16                   5.757e-16                   4.487e-16                   1.782e-15                   5.239e-16
1.213e+01                   1.799e-13                   4.224e-15                   2.881e-16                   1.182e-15                   7.432e-16                   1.383e-15                   8.219e-16                   5.503e-16                   3.791e-16                   3.216e-16                   2.752e-16                   3.027e-15                   5.359e-17                   2.391e-16                   7.887e-15                   1.528e-16                   7.406e-17                   1.515e-16                   6.430e-16                   1.842e-15                   2.012e-15                   6.304e-16                   5.936e-16                   4.619e-16                   1.877e-15                   5.361e-16
1.264e+01                   1.811e-13                   4.827e-15                   3.341e-16                   1.124e-15                   7.589e-16                   1.312e-15                   7.824e-16                   5.227e-16                   3.612e-16                   3.059e-16                   2.620e-16                   3.123e-15                   5.559e-17                   2.523e-16                   8.732e-15                   1.456e-16                   7.082e-17                   1.556e-16                   6.611e-16                   1.879e-15                   2.065e-15                   6.494e-16                   6.094e-16                   4.736e-16                   1.967e-15                   5.465e-16
1.315e+01                   1.822e-13                   5.461e-15                   3.829e-16                   1.067e-15                   7.732e-16                   1.248e-15                   7.412e-16                   4.962e-16                   3.421e-16                   2.903e-16                   2.487e-16                   3.209e-15                   5.743e-17                   2.648e-16                   9.590e-15                   1.386e-16                   6.726e-17                   1.593e-16                   6.775e-16                   1.912e-15                   2.113e-15                   6.667e-16                   6.237e-16                   4.842e-16                   2.052e-15                   5.554e-16
