!Thresh(eV)                 0.0                         0.02                        0.29                        0.291                       0.59                        0.88                        1.17                        1.47                        1.76                        11.03                       11.87                       12.25                       13.0                        2.06                        2.35                        6.17                        7.0                         7.35                        7.36                        7.8                         8.16                        8.4                         8.55                        8.89                        15.6                        18.8                        
!Reaction                   e+N2(X1)->e+N2(X1)          e+N2(X1)->e+N2(Rot)         e+N2(X1)->e+N2(v1)          e+N2(X1)->e+N2(v1res)       e+N2(X1)->e+N2(v2)          e+N2(X1)->e+N2(v3)          e+N2(X1)->e+N2(v4)          e+N2(X1)->e+N2(v5)          e+N2(X1)->e+N2(v6)          e+N2(X1)->e+N2(C3)          e+N2(X1)->e+N2(e3)          e+N2(X1)->e+N2(a''1)        e+N2(X1)->e+N2(SUM)         e+N2(X1)->e+N2(v7)          e+N2(X1)->e+N2(v8)          e+N2(X1)->e+N2(A3,v0-4)     e+N2(X1)->e+N2(A3,v5-9)     e+N2(X1)->e+N2(B3)          e+N2(X1)->e+N2(W3)          e+N2(X1)->e+N2(A3,v10-)     e+N2(X1)->e+N2(B'3)         e+N2(X1)->e+N2(a'1)         e+N2(X1)->e+N2(a1)          e+N2(X1)->e+N2(w1)          e+N2(X1)->e+e+N2(X2:ion)    e+N2(X1)->e+e+N2(X2:ion:B2SIGMA)
!Type                       Effective                   Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Ionization                  Ionization                  
!<E> (eV)                   Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8.479e+00                   1.670e-13                   9.977e-16                   5.544e-17                   1.836e-15                   5.768e-16                   2.183e-15                   1.279e-15                   8.667e-16                   5.952e-16                   4.948e-16                   4.191e-16                   1.929e-15                   3.440e-17                   1.196e-16                   2.573e-15                   2.292e-16                   1.101e-16                   1.060e-16                   4.428e-16                   1.387e-15                   1.375e-15                   4.232e-16                   4.123e-16                   3.256e-16                   1.078e-15                   3.960e-16
9.022e+00                   1.696e-13                   1.334e-15                   7.768e-17                   1.703e-15                   6.076e-16                   1.992e-15                   1.205e-15                   8.019e-16                   5.482e-16                   4.645e-16                   3.930e-16                   2.143e-15                   3.790e-17                   1.394e-16                   3.231e-15                   2.151e-16                   1.029e-16                   1.148e-16                   4.814e-16                   1.481e-15                   1.502e-15                   4.628e-16                   4.481e-16                   3.530e-16                   1.213e-15                   4.260e-16
9.555e+00                   1.718e-13                   1.716e-15                   1.038e-16                   1.595e-15                   6.353e-16                   1.880e-15                   1.105e-15                   7.513e-16                   5.143e-16                   4.315e-16                   3.668e-16                   2.332e-15                   4.111e-17                   1.584e-16                   3.931e-15                   2.017e-16                   9.728e-17                   1.226e-16                   5.157e-16                   1.561e-15                   1.614e-15                   4.981e-16                   4.796e-16                   3.768e-16                   1.339e-15                   4.514e-16
1.008e+01                   1.739e-13                   2.143e-15                   1.339e-16                   1.491e-15                   6.614e-16                   1.758e-15                   1.048e-15                   6.956e-16                   4.830e-16                   4.054e-16                   3.449e-16                   2.505e-15                   4.393e-17                   1.766e-16                   4.674e-15                   1.910e-16                   9.179e-17                   1.298e-16                   5.472e-16                   1.634e-15                   1.715e-15                   5.306e-16                   5.082e-16                   3.984e-16                   1.461e-15                   4.739e-16
1.060e+01                   1.757e-13                   2.611e-15                   1.677e-16                   1.402e-15                   6.852e-16                   1.633e-15                   9.812e-16                   6.582e-16                   4.475e-16                   3.825e-16                   3.262e-16                   2.659e-15                   4.600e-17                   1.938e-16                   5.448e-15                   1.792e-16                   8.686e-17                   1.362e-16                   5.754e-16                   1.697e-15                   1.805e-15                   5.598e-16                   5.336e-16                   4.174e-16                   1.575e-15                   4.933e-16
1.111e+01                   1.772e-13                   3.117e-15                   2.049e-16                   1.323e-15                   7.065e-16                   1.553e-15                   9.155e-16                   6.187e-16                   4.275e-16                   3.579e-16                   3.065e-16                   2.797e-15                   4.923e-17                   2.100e-16                   6.245e-15                   1.702e-16                   8.219e-17                   1.418e-16                   6.004e-16                   1.752e-15                   1.883e-15                   5.858e-16                   5.560e-16                   4.340e-16                   1.682e-15                   5.098e-16
1.162e+01                   1.787e-13                   3.659e-15                   2.453e-16                   1.249e-15                   7.261e-16                   1.468e-15                   8.709e-16                   5.793e-16                   4.038e-16                   3.402e-16                   2.897e-16                   2.920e-15                   5.177e-17                   2.252e-16                   7.065e-15                   1.616e-16                   7.811e-17                   1.470e-16                   6.231e-16                   1.801e-15                   1.953e-15                   6.096e-16                   5.761e-16                   4.490e-16                   1.784e-15                   5.242e-16
1.213e+01                   1.800e-13                   4.234e-15                   2.888e-16                   1.182e-15                   7.437e-16                   1.380e-15                   8.277e-16                   5.502e-16                   3.772e-16                   3.230e-16                   2.763e-16                   3.029e-15                   5.295e-17                   2.394e-16                   7.902e-15                   1.525e-16                   7.438e-17                   1.516e-16                   6.436e-16                   1.844e-15                   2.014e-15                   6.310e-16                   5.941e-16                   4.623e-16                   1.879e-15                   5.365e-16
1.264e+01                   1.812e-13                   4.839e-15                   3.350e-16                   1.123e-15                   7.594e-16                   1.309e-15                   7.799e-16                   5.248e-16                   3.588e-16                   3.048e-16                   2.626e-16                   3.126e-15                   5.592e-17                   2.527e-16                   8.749e-15                   1.452e-16                   7.051e-17                   1.557e-16                   6.617e-16                   1.881e-15                   2.067e-15                   6.500e-16                   6.099e-16                   4.740e-16                   1.969e-15                   5.469e-16
1.315e+01                   1.822e-13                   5.469e-15                   3.835e-16                   1.069e-15                   7.733e-16                   1.250e-15                   7.394e-16                   4.974e-16                   3.457e-16                   2.901e-16                   2.484e-16                   3.209e-15                   5.696e-17                   2.649e-16                   9.600e-15                   1.395e-16                   6.736e-17                   1.593e-16                   6.775e-16                   1.912e-15                   2.113e-15                   6.667e-16                   6.236e-16                   4.841e-16                   2.052e-15                   5.553e-16
