E/N (Td)          Energy (eV)       Temp (K)          Mobility ()         Diffusion ()        Ionization Rate ()  
3.501e+02         7.679e+00         5.941e+04         3.383e-02         1.873e-01         6.023e-16
3.549e+02         7.746e+00         5.992e+04         3.373e-02         1.883e-01         6.305e-16
3.596e+02         7.812e+00         6.044e+04         3.364e-02         1.892e-01         6.594e-16
3.643e+02         7.879e+00         6.095e+04         3.354e-02         1.902e-01         6.889e-16
3.691e+02         7.945e+00         6.146e+04         3.344e-02         1.912e-01         7.190e-16
3.738e+02         8.010e+00         6.197e+04         3.334e-02         1.921e-01         7.497e-16
3.785e+02         8.076e+00         6.248e+04         3.325e-02         1.931e-01         7.812e-16
3.833e+02         8.141e+00         6.298e+04         3.315e-02         1.940e-01         8.134e-16
3.880e+02         8.206e+00         6.348e+04         3.305e-02         1.950e-01         8.460e-16
3.927e+02         8.270e+00         6.398e+04         3.296e-02         1.959e-01         8.797e-16
3.975e+02         8.335e+00         6.448e+04         3.288e-02         1.968e-01         9.141e-16
4.022e+02         8.399e+00         6.498e+04         3.280e-02         1.977e-01         9.491e-16
4.069e+02         8.463e+00         6.547e+04         3.271e-02         1.986e-01         9.847e-16
4.116e+02         8.527e+00         6.596e+04         3.262e-02         1.995e-01         1.021e-15
4.164e+02         8.590e+00         6.646e+04         3.254e-02         2.004e-01         1.058e-15
4.211e+02         8.653e+00         6.695e+04         3.245e-02         2.013e-01         1.095e-15
4.258e+02         8.717e+00         6.743e+04         3.236e-02         2.021e-01         1.133e-15
4.306e+02         8.780e+00         6.792e+04         3.228e-02         2.030e-01         1.172e-15
4.353e+02         8.842e+00         6.841e+04         3.219e-02         2.039e-01         1.211e-15
4.400e+02         8.905e+00         6.889e+04         3.211e-02         2.048e-01         1.251e-15
4.448e+02         8.968e+00         6.938e+04         3.203e-02         2.056e-01         1.292e-15
4.495e+02         9.030e+00         6.986e+04         3.195e-02         2.065e-01         1.334e-15
4.542e+02         9.092e+00         7.034e+04         3.187e-02         2.073e-01         1.376e-15
4.590e+02         9.154e+00         7.082e+04         3.179e-02         2.081e-01         1.418e-15
4.637e+02         9.216e+00         7.130e+04         3.172e-02         2.090e-01         1.462e-15
4.684e+02         9.278e+00         7.178e+04         3.164e-02         2.098e-01         1.506e-15
4.732e+02         9.340e+00         7.226e+04         3.157e-02         2.106e-01         1.550e-15
4.779e+02         9.401e+00         7.273e+04         3.149e-02         2.114e-01         1.595e-15
4.826e+02         9.463e+00         7.321e+04         3.141e-02         2.122e-01         1.641e-15
4.873e+02         9.524e+00         7.368e+04         3.133e-02         2.130e-01         1.687e-15
4.921e+02         9.585e+00         7.416e+04         3.126e-02         2.139e-01         1.734e-15
4.968e+02         9.646e+00         7.463e+04         3.119e-02         2.147e-01         1.781e-15
5.015e+02         9.707e+00         7.510e+04         3.112e-02         2.155e-01         1.829e-15
5.063e+02         9.768e+00         7.557e+04         3.105e-02         2.163e-01         1.878e-15
5.110e+02         9.829e+00         7.604e+04         3.098e-02         2.171e-01         1.927e-15
5.157e+02         9.890e+00         7.651e+04         3.091e-02         2.178e-01         1.977e-15
5.205e+02         9.951e+00         7.698e+04         3.083e-02         2.186e-01         2.027e-15
5.252e+02         1.001e+01         7.745e+04         3.077e-02         2.194e-01         2.078e-15
5.299e+02         1.007e+01         7.792e+04         3.070e-02         2.202e-01         2.130e-15
5.347e+02         1.013e+01         7.839e+04         3.063e-02         2.209e-01         2.182e-15
5.394e+02         1.019e+01         7.885e+04         3.056e-02         2.217e-01         2.234e-15
5.441e+02         1.025e+01         7.932e+04         3.049e-02         2.224e-01         2.287e-15
5.489e+02         1.031e+01         7.979e+04         3.042e-02         2.232e-01         2.340e-15
5.536e+02         1.037e+01         8.025e+04         3.035e-02         2.240e-01         2.394e-15
5.583e+02         1.043e+01         8.072e+04         3.029e-02         2.247e-01         2.449e-15
5.631e+02         1.049e+01         8.118e+04         3.023e-02         2.255e-01         2.505e-15
5.678e+02         1.055e+01         8.164e+04         3.016e-02         2.262e-01         2.561e-15
5.725e+02         1.061e+01         8.211e+04         3.010e-02         2.270e-01         2.617e-15
5.772e+02         1.067e+01         8.257e+04         3.004e-02         2.277e-01         2.674e-15
5.820e+02         1.073e+01         8.303e+04         2.998e-02         2.284e-01         2.731e-15
5.867e+02         1.079e+01         8.349e+04         2.991e-02         2.292e-01         2.789e-15
5.914e+02         1.085e+01         8.396e+04         2.985e-02         2.299e-01         2.847e-15
5.962e+02         1.091e+01         8.442e+04         2.979e-02         2.306e-01         2.906e-15
6.009e+02         1.097e+01         8.488e+04         2.973e-02         2.314e-01         2.966e-15
6.056e+02         1.103e+01         8.534e+04         2.967e-02         2.321e-01         3.025e-15
6.104e+02         1.109e+01         8.580e+04         2.961e-02         2.328e-01         3.085e-15
6.151e+02         1.115e+01         8.626e+04         2.954e-02         2.335e-01         3.146e-15
6.198e+02         1.121e+01         8.672e+04         2.948e-02         2.342e-01         3.207e-15
6.246e+02         1.127e+01         8.718e+04         2.942e-02         2.350e-01         3.268e-15
6.293e+02         1.133e+01         8.764e+04         2.936e-02         2.357e-01         3.330e-15
6.340e+02         1.139e+01         8.810e+04         2.931e-02         2.364e-01         3.393e-15
6.388e+02         1.145e+01         8.855e+04         2.925e-02         2.371e-01         3.456e-15
6.435e+02         1.151e+01         8.901e+04         2.919e-02         2.378e-01         3.519e-15
