E/N (Td)          Energy (eV)       Temp (K)          Mobility ()         Diffusion ()        Ionization Rate ()  
1.514e+03         2.213e+01         1.712e+05         2.267e-02         3.502e-01         1.981e-14
1.519e+03         2.219e+01         1.716e+05         2.265e-02         3.508e-01         1.992e-14
1.524e+03         2.224e+01         1.721e+05         2.263e-02         3.513e-01         2.002e-14
1.528e+03         2.230e+01         1.725e+05         2.261e-02         3.519e-01         2.012e-14
1.533e+03         2.235e+01         1.729e+05         2.258e-02         3.525e-01         2.022e-14
1.538e+03         2.241e+01         1.734e+05         2.256e-02         3.531e-01         2.032e-14
1.542e+03         2.246e+01         1.738e+05         2.254e-02         3.537e-01         2.043e-14
1.547e+03         2.252e+01         1.742e+05         2.252e-02         3.543e-01         2.053e-14
1.552e+03         2.257e+01         1.746e+05         2.250e-02         3.549e-01         2.063e-14
1.557e+03         2.263e+01         1.751e+05         2.248e-02         3.555e-01         2.073e-14
1.561e+03         2.268e+01         1.755e+05         2.246e-02         3.560e-01         2.084e-14
1.566e+03         2.274e+01         1.759e+05         2.244e-02         3.566e-01         2.094e-14
1.571e+03         2.279e+01         1.763e+05         2.241e-02         3.572e-01         2.104e-14
1.576e+03         2.285e+01         1.768e+05         2.239e-02         3.578e-01         2.115e-14
1.580e+03         2.290e+01         1.772e+05         2.237e-02         3.584e-01         2.125e-14
1.585e+03         2.296e+01         1.776e+05         2.235e-02         3.590e-01         2.135e-14
1.590e+03         2.301e+01         1.780e+05         2.233e-02         3.596e-01         2.145e-14
1.595e+03         2.307e+01         1.785e+05         2.231e-02         3.602e-01         2.156e-14
1.599e+03         2.312e+01         1.789e+05         2.229e-02         3.607e-01         2.166e-14
1.604e+03         2.318e+01         1.793e+05         2.227e-02         3.613e-01         2.176e-14
1.609e+03         2.323e+01         1.797e+05         2.225e-02         3.619e-01         2.187e-14
1.613e+03         2.329e+01         1.801e+05         2.223e-02         3.625e-01         2.197e-14
1.618e+03         2.334e+01         1.806e+05         2.221e-02         3.631e-01         2.207e-14
1.623e+03         2.339e+01         1.810e+05         2.219e-02         3.637e-01         2.217e-14
1.628e+03         2.345e+01         1.814e+05         2.217e-02         3.643e-01         2.228e-14
1.632e+03         2.350e+01         1.818e+05         2.215e-02         3.649e-01         2.238e-14
1.637e+03         2.356e+01         1.822e+05         2.213e-02         3.655e-01         2.248e-14
1.642e+03         2.361e+01         1.827e+05         2.211e-02         3.661e-01         2.259e-14
1.647e+03         2.367e+01         1.831e+05         2.209e-02         3.667e-01         2.269e-14
1.651e+03         2.372e+01         1.835e+05         2.207e-02         3.673e-01         2.279e-14
1.656e+03         2.377e+01         1.839e+05         2.205e-02         3.679e-01         2.290e-14
1.661e+03         2.383e+01         1.843e+05         2.203e-02         3.685e-01         2.300e-14
1.665e+03         2.388e+01         1.848e+05         2.201e-02         3.691e-01         2.310e-14
1.670e+03         2.393e+01         1.852e+05         2.199e-02         3.696e-01         2.321e-14
1.675e+03         2.399e+01         1.856e+05         2.198e-02         3.702e-01         2.331e-14
1.680e+03         2.404e+01         1.860e+05         2.196e-02         3.708e-01         2.342e-14
1.684e+03         2.410e+01         1.864e+05         2.194e-02         3.714e-01         2.352e-14
1.689e+03         2.415e+01         1.868e+05         2.192e-02         3.720e-01         2.362e-14
1.694e+03         2.420e+01         1.872e+05         2.190e-02         3.726e-01         2.373e-14
1.699e+03         2.426e+01         1.877e+05         2.188e-02         3.732e-01         2.383e-14
1.703e+03         2.431e+01         1.881e+05         2.186e-02         3.738e-01         2.393e-14
1.708e+03         2.436e+01         1.885e+05         2.184e-02         3.744e-01         2.404e-14
1.713e+03         2.442e+01         1.889e+05         2.183e-02         3.750e-01         2.414e-14
1.718e+03         2.447e+01         1.893e+05         2.181e-02         3.756e-01         2.425e-14
1.722e+03         2.452e+01         1.897e+05         2.179e-02         3.762e-01         2.435e-14
1.727e+03         2.458e+01         1.901e+05         2.177e-02         3.768e-01         2.446e-14
1.732e+03         2.463e+01         1.905e+05         2.175e-02         3.774e-01         2.456e-14
1.736e+03         2.468e+01         1.909e+05         2.174e-02         3.780e-01         2.466e-14
1.741e+03         2.473e+01         1.914e+05         2.172e-02         3.786e-01         2.477e-14
1.746e+03         2.479e+01         1.918e+05         2.170e-02         3.791e-01         2.487e-14
1.751e+03         2.484e+01         1.922e+05         2.168e-02         3.797e-01         2.497e-14
1.755e+03         2.489e+01         1.926e+05         2.166e-02         3.803e-01         2.508e-14
1.760e+03         2.495e+01         1.930e+05         2.164e-02         3.809e-01         2.518e-14
1.765e+03         2.500e+01         1.934e+05         2.163e-02         3.815e-01         2.529e-14
1.770e+03         2.505e+01         1.938e+05         2.161e-02         3.821e-01         2.539e-14
1.774e+03         2.510e+01         1.942e+05         2.159e-02         3.827e-01         2.549e-14
1.779e+03         2.516e+01         1.946e+05         2.157e-02         3.833e-01         2.560e-14
1.784e+03         2.521e+01         1.950e+05         2.156e-02         3.839e-01         2.570e-14
1.788e+03         2.526e+01         1.954e+05         2.154e-02         3.845e-01         2.581e-14
1.793e+03         2.531e+01         1.958e+05         2.152e-02         3.851e-01         2.591e-14
1.798e+03         2.537e+01         1.962e+05         2.150e-02         3.858e-01         2.602e-14
1.803e+03         2.542e+01         1.966e+05         2.149e-02         3.864e-01         2.612e-14
1.807e+03         2.547e+01         1.970e+05         2.147e-02         3.870e-01         2.622e-14
1.812e+03         2.552e+01         1.974e+05         2.145e-02         3.876e-01         2.633e-14
1.817e+03         2.557e+01         1.978e+05         2.144e-02         3.881e-01         2.643e-14
1.822e+03         2.563e+01         1.982e+05         2.142e-02         3.887e-01         2.654e-14
1.826e+03         2.568e+01         1.986e+05         2.140e-02         3.893e-01         2.664e-14
1.831e+03         2.573e+01         1.990e+05         2.139e-02         3.899e-01         2.675e-14
1.836e+03         2.578e+01         1.994e+05         2.137e-02         3.905e-01         2.685e-14
1.841e+03         2.583e+01         1.998e+05         2.135e-02         3.912e-01         2.696e-14
1.845e+03         2.588e+01         2.002e+05         2.134e-02         3.918e-01         2.706e-14
1.850e+03         2.593e+01         2.006e+05         2.132e-02         3.924e-01         2.717e-14
1.855e+03         2.599e+01         2.010e+05         2.130e-02         3.930e-01         2.727e-14
1.859e+03         2.604e+01         2.014e+05         2.129e-02         3.936e-01         2.737e-14
1.864e+03         2.609e+01         2.018e+05         2.127e-02         3.942e-01         2.748e-14
1.869e+03         2.614e+01         2.022e+05         2.125e-02         3.948e-01         2.758e-14
1.874e+03         2.619e+01         2.026e+05         2.124e-02         3.954e-01         2.769e-14
1.878e+03         2.624e+01         2.030e+05         2.122e-02         3.960e-01         2.779e-14
1.883e+03         2.629e+01         2.034e+05         2.121e-02         3.966e-01         2.790e-14
1.888e+03         2.634e+01         2.038e+05         2.119e-02         3.972e-01         2.800e-14
1.893e+03         2.640e+01         2.042e+05         2.117e-02         3.979e-01         2.811e-14
1.897e+03         2.645e+01         2.046e+05         2.116e-02         3.985e-01         2.821e-14
1.902e+03         2.650e+01         2.050e+05         2.114e-02         3.991e-01         2.831e-14
1.907e+03         2.655e+01         2.054e+05         2.112e-02         3.997e-01         2.842e-14
1.912e+03         2.660e+01         2.058e+05         2.111e-02         4.003e-01         2.852e-14
1.916e+03         2.665e+01         2.062e+05         2.109e-02         4.009e-01         2.863e-14
1.921e+03         2.670e+01         2.066e+05         2.108e-02         4.015e-01         2.873e-14
1.926e+03         2.675e+01         2.069e+05         2.106e-02         4.021e-01         2.884e-14
1.930e+03         2.680e+01         2.073e+05         2.105e-02         4.027e-01         2.894e-14
1.935e+03         2.685e+01         2.077e+05         2.103e-02         4.033e-01         2.904e-14
1.940e+03         2.690e+01         2.081e+05         2.101e-02         4.040e-01         2.915e-14
1.945e+03         2.695e+01         2.085e+05         2.100e-02         4.046e-01         2.925e-14
1.949e+03         2.700e+01         2.089e+05         2.098e-02         4.052e-01         2.936e-14
1.954e+03         2.705e+01         2.093e+05         2.097e-02         4.058e-01         2.946e-14
1.959e+03         2.710e+01         2.097e+05         2.095e-02         4.064e-01         2.957e-14
1.964e+03         2.715e+01         2.101e+05         2.094e-02         4.070e-01         2.967e-14
1.968e+03         2.720e+01         2.104e+05         2.092e-02         4.076e-01         2.978e-14
1.973e+03         2.725e+01         2.108e+05         2.091e-02         4.082e-01         2.988e-14
1.978e+03         2.730e+01         2.112e+05         2.089e-02         4.088e-01         2.999e-14
1.982e+03         2.735e+01         2.116e+05         2.088e-02         4.094e-01         3.009e-14
1.987e+03         2.740e+01         2.120e+05         2.086e-02         4.101e-01         3.020e-14
1.992e+03         2.745e+01         2.124e+05         2.085e-02         4.107e-01         3.030e-14
1.997e+03         2.750e+01         2.127e+05         2.083e-02         4.113e-01         3.040e-14
2.001e+03         2.755e+01         2.131e+05         2.082e-02         4.119e-01         3.051e-14
2.006e+03         2.760e+01         2.135e+05         2.081e-02         4.125e-01         3.061e-14
2.011e+03         2.765e+01         2.139e+05         2.079e-02         4.132e-01         3.072e-14
2.016e+03         2.770e+01         2.143e+05         2.078e-02         4.138e-01         3.082e-14
2.020e+03         2.775e+01         2.146e+05         2.076e-02         4.144e-01         3.093e-14
2.025e+03         2.779e+01         2.150e+05         2.075e-02         4.150e-01         3.103e-14
2.030e+03         2.784e+01         2.154e+05         2.073e-02         4.156e-01         3.114e-14
2.035e+03         2.789e+01         2.158e+05         2.072e-02         4.162e-01         3.124e-14
2.039e+03         2.794e+01         2.162e+05         2.070e-02         4.169e-01         3.134e-14
2.044e+03         2.799e+01         2.165e+05         2.069e-02         4.175e-01         3.145e-14
2.049e+03         2.804e+01         2.169e+05         2.068e-02         4.181e-01         3.155e-14
2.053e+03         2.809e+01         2.173e+05         2.066e-02         4.187e-01         3.166e-14
2.058e+03         2.814e+01         2.177e+05         2.065e-02         4.193e-01         3.176e-14
2.063e+03         2.818e+01         2.180e+05         2.063e-02         4.200e-01         3.187e-14
2.068e+03         2.823e+01         2.184e+05         2.062e-02         4.206e-01         3.197e-14
2.072e+03         2.828e+01         2.188e+05         2.061e-02         4.212e-01         3.208e-14
2.077e+03         2.833e+01         2.192e+05         2.059e-02         4.218e-01         3.218e-14
2.082e+03         2.838e+01         2.195e+05         2.058e-02         4.225e-01         3.228e-14
2.087e+03         2.843e+01         2.199e+05         2.056e-02         4.231e-01         3.239e-14
2.091e+03         2.847e+01         2.203e+05         2.055e-02         4.237e-01         3.249e-14
2.096e+03         2.852e+01         2.207e+05         2.053e-02         4.243e-01         3.260e-14
2.101e+03         2.857e+01         2.210e+05         2.052e-02         4.250e-01         3.270e-14
2.106e+03         2.862e+01         2.214e+05         2.051e-02         4.256e-01         3.280e-14
2.110e+03         2.866e+01         2.218e+05         2.049e-02         4.262e-01         3.291e-14
2.115e+03         2.871e+01         2.221e+05         2.048e-02         4.268e-01         3.301e-14
2.120e+03         2.876e+01         2.225e+05         2.047e-02         4.275e-01         3.312e-14
2.124e+03         2.881e+01         2.229e+05         2.045e-02         4.281e-01         3.322e-14
2.129e+03         2.886e+01         2.232e+05         2.044e-02         4.287e-01         3.333e-14
2.134e+03         2.890e+01         2.236e+05         2.043e-02         4.293e-01         3.343e-14
2.139e+03         2.895e+01         2.240e+05         2.041e-02         4.300e-01         3.353e-14
2.143e+03         2.900e+01         2.243e+05         2.040e-02         4.306e-01         3.364e-14
2.148e+03         2.905e+01         2.247e+05         2.039e-02         4.312e-01         3.374e-14
2.153e+03         2.909e+01         2.251e+05         2.037e-02         4.318e-01         3.385e-14
2.158e+03         2.914e+01         2.254e+05         2.036e-02         4.325e-01         3.395e-14
2.162e+03         2.919e+01         2.258e+05         2.035e-02         4.331e-01         3.406e-14
2.167e+03         2.923e+01         2.262e+05         2.033e-02         4.337e-01         3.416e-14
2.172e+03         2.928e+01         2.265e+05         2.032e-02         4.343e-01         3.426e-14
2.176e+03         2.933e+01         2.269e+05         2.031e-02         4.350e-01         3.437e-14
2.181e+03         2.937e+01         2.272e+05         2.030e-02         4.356e-01         3.447e-14
2.186e+03         2.942e+01         2.276e+05         2.028e-02         4.362e-01         3.458e-14
2.191e+03         2.947e+01         2.280e+05         2.027e-02         4.368e-01         3.468e-14
2.195e+03         2.951e+01         2.283e+05         2.026e-02         4.375e-01         3.478e-14
2.200e+03         2.956e+01         2.287e+05         2.025e-02         4.381e-01         3.489e-14
2.205e+03         2.961e+01         2.290e+05         2.023e-02         4.387e-01         3.499e-14
2.210e+03         2.965e+01         2.294e+05         2.022e-02         4.394e-01         3.510e-14
2.214e+03         2.970e+01         2.298e+05         2.021e-02         4.400e-01         3.520e-14
2.219e+03         2.975e+01         2.301e+05         2.020e-02         4.406e-01         3.530e-14
2.224e+03         2.979e+01         2.305e+05         2.018e-02         4.413e-01         3.541e-14
2.229e+03         2.984e+01         2.308e+05         2.017e-02         4.419e-01         3.551e-14
2.233e+03         2.988e+01         2.312e+05         2.016e-02         4.425e-01         3.561e-14
2.238e+03         2.993e+01         2.315e+05         2.014e-02         4.432e-01         3.572e-14
2.243e+03         2.998e+01         2.319e+05         2.013e-02         4.438e-01         3.582e-14
2.247e+03         3.002e+01         2.323e+05         2.012e-02         4.444e-01         3.592e-14
2.252e+03         3.007e+01         2.326e+05         2.011e-02         4.451e-01         3.603e-14
2.257e+03         3.011e+01         2.330e+05         2.009e-02         4.457e-01         3.613e-14
2.262e+03         3.016e+01         2.333e+05         2.008e-02         4.464e-01         3.624e-14
2.266e+03         3.020e+01         2.337e+05         2.007e-02         4.470e-01         3.634e-14
2.271e+03         3.025e+01         2.340e+05         2.006e-02         4.476e-01         3.644e-14
2.276e+03         3.029e+01         2.344e+05         2.005e-02         4.483e-01         3.655e-14
2.281e+03         3.034e+01         2.347e+05         2.003e-02         4.489e-01         3.665e-14
2.285e+03         3.038e+01         2.351e+05         2.002e-02         4.496e-01         3.675e-14
2.290e+03         3.043e+01         2.354e+05         2.001e-02         4.502e-01         3.686e-14
2.295e+03         3.047e+01         2.358e+05         2.000e-02         4.508e-01         3.696e-14
2.299e+03         3.052e+01         2.361e+05         1.999e-02         4.515e-01         3.706e-14
2.304e+03         3.056e+01         2.365e+05         1.997e-02         4.521e-01         3.717e-14
2.309e+03         3.061e+01         2.368e+05         1.996e-02         4.528e-01         3.727e-14
2.314e+03         3.065e+01         2.371e+05         1.995e-02         4.534e-01         3.737e-14
2.318e+03         3.070e+01         2.375e+05         1.994e-02         4.541e-01         3.748e-14
2.323e+03         3.074e+01         2.378e+05         1.993e-02         4.547e-01         3.758e-14
2.328e+03         3.079e+01         2.382e+05         1.991e-02         4.553e-01         3.768e-14
2.333e+03         3.083e+01         2.385e+05         1.990e-02         4.560e-01         3.778e-14
2.337e+03         3.088e+01         2.389e+05         1.989e-02         4.566e-01         3.789e-14
2.342e+03         3.092e+01         2.392e+05         1.988e-02         4.573e-01         3.799e-14
2.347e+03         3.097e+01         2.396e+05         1.987e-02         4.579e-01         3.809e-14
2.352e+03         3.101e+01         2.399e+05         1.986e-02         4.586e-01         3.820e-14
2.356e+03         3.105e+01         2.402e+05         1.985e-02         4.592e-01         3.830e-14
2.361e+03         3.110e+01         2.406e+05         1.983e-02         4.599e-01         3.840e-14
