!Thresh(eV)            0.00                       0.02                       0.291                      0.59                       0.88                       1.17                       1.47                       1.76                       2.06                       2.35                       6.17                       7.00                       7.35                       7.36                       7.80                       8.16                       8.40                       8.55                       8.89                       11.03                      11.87                      12.25                      13.0                       15.6                       0.00
!Reaction              e+N2(X1)->e+N2(X1)         e+N2(X1)->e+N2(Rot)        e+N2(X1)->e+N2(v1)         e+N2(X1)->e+N2(v2)         e+N2(X1)->e+N2(v3)         e+N2(X1)->e+N2(v4)         e+N2(X1)->e+N2(v5)         e+N2(X1)->e+N2(v6)         e+N2(X1)->e+N2(v7)         e+N2(X1)->e+N2(v8)         e+N2(X1)->e+N2(A3,v0-4)    e+N2(X1)->e+N2(A3,v5-9)    e+N2(X1)->e+N2(B3)         e+N2(X1)->e+N2(W3)         e+N2(X1)->e+N2(A3,v10-)    e+N2(X1)->e+N2(B'3)        e+N2(X1)->e+N2(a'1)        e+N2(X1)->e+N2(a1)         e+N2(X1)->e+N2(w1)         e+N2(X1)->e+N2(C3)         e+N2(X1)->e+N2(E3)         e+N2(X1)->e+N2(a''1)       e+N2(X1)->e+N2(sum)        e+N2(X1)->e+e+N2(X2:ion)   e+N2(X2:ion)->N(4S)+N(4S)
!Type                  Ground/MomXfer             Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Ionization                 Recombination
!<E> (eV)              Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)
!---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
24.6                   3.114E-07                  5.907E-10                  1.488E-09                  4.098E-10                  2.736E-10                  1.895E-10                  1.612E-10                  1.388E-10                  7.764E-11                  3.789E-11                  1.708E-10                  7.306E-10                  1.908E-09                  2.129E-09                  7.319E-10                  6.716E-10                  5.355E-10                  2.914E-09                  5.299E-10                  5.093E-09                  6.551E-11                  3.743E-10                  2.801E-08                  2.582E-08                  2.528E-08
24.8                   3.123E-07                  5.843E-10                  1.479E-09                  4.053E-10                  2.706E-10                  1.874E-10                  1.595E-10                  1.373E-10                  7.681E-11                  3.748E-11                  1.707E-10                  7.302E-10                  1.906E-09                  2.126E-09                  7.317E-10                  6.716E-10                  5.359E-10                  2.923E-09                  5.291E-10                  5.089E-09                  6.549E-11                  3.752E-10                  2.828E-08                  2.617E-08                  2.521E-08
25.0                   3.132E-07                  5.781E-10                  1.471E-09                  4.010E-10                  2.677E-10                  1.854E-10                  1.578E-10                  1.358E-10                  7.599E-11                  3.709E-11                  1.706E-10                  7.299E-10                  1.904E-09                  2.124E-09                  7.315E-10                  6.715E-10                  5.364E-10                  2.931E-09                  5.283E-10                  5.084E-09                  6.548E-11                  3.761E-10                  2.856E-08                  2.652E-08                  2.515E-08
25.2                   3.141E-07                  5.719E-10                  1.463E-09                  3.967E-10                  2.648E-10                  1.834E-10                  1.561E-10                  1.344E-10                  7.519E-11                  3.670E-11                  1.705E-10                  7.295E-10                  1.901E-09                  2.121E-09                  7.312E-10                  6.713E-10                  5.368E-10                  2.938E-09                  5.274E-10                  5.078E-09                  6.546E-11                  3.769E-10                  2.883E-08                  2.687E-08                  2.509E-08
25.4                   3.151E-07                  5.659E-10                  1.455E-09                  3.925E-10                  2.620E-10                  1.815E-10                  1.544E-10                  1.330E-10                  7.440E-11                  3.631E-11                  1.704E-10                  7.291E-10                  1.899E-09                  2.118E-09                  7.309E-10                  6.712E-10                  5.373E-10                  2.946E-09                  5.265E-10                  5.073E-09                  6.543E-11                  3.777E-10                  2.910E-08                  2.722E-08                  2.503E-08
25.6                   3.160E-07                  5.599E-10                  1.446E-09                  3.883E-10                  2.592E-10                  1.796E-10                  1.528E-10                  1.316E-10                  7.362E-11                  3.594E-11                  1.703E-10                  7.286E-10                  1.896E-09                  2.114E-09                  7.306E-10                  6.710E-10                  5.377E-10                  2.953E-09                  5.256E-10                  5.067E-09                  6.540E-11                  3.784E-10                  2.937E-08                  2.757E-08                  2.498E-08
25.8                   3.169E-07                  5.541E-10                  1.439E-09                  3.842E-10                  2.565E-10                  1.777E-10                  1.512E-10                  1.302E-10                  7.286E-11                  3.557E-11                  1.702E-10                  7.281E-10                  1.894E-09                  2.111E-09                  7.302E-10                  6.708E-10                  5.380E-10                  2.961E-09                  5.247E-10                  5.061E-09                  6.537E-11                  3.792E-10                  2.964E-08                  2.792E-08                  2.492E-08
26.0                   3.178E-07                  5.484E-10                  1.431E-09                  3.803E-10                  2.538E-10                  1.758E-10                  1.496E-10                  1.288E-10                  7.211E-11                  3.520E-11                  1.700E-10                  7.276E-10                  1.891E-09                  2.108E-09                  7.298E-10                  6.705E-10                  5.384E-10                  2.968E-09                  5.238E-10                  5.055E-09                  6.534E-11                  3.799E-10                  2.991E-08                  2.827E-08                  2.486E-08
26.2                   3.188E-07                  5.427E-10                  1.423E-09                  3.763E-10                  2.512E-10                  1.740E-10                  1.481E-10                  1.275E-10                  7.137E-11                  3.485E-11                  1.699E-10                  7.270E-10                  1.889E-09                  2.104E-09                  7.293E-10                  6.703E-10                  5.388E-10                  2.975E-09                  5.229E-10                  5.048E-09                  6.530E-11                  3.806E-10                  3.017E-08                  2.862E-08                  2.480E-08
26.4                   3.197E-07                  5.372E-10                  1.415E-09                  3.725E-10                  2.486E-10                  1.722E-10                  1.466E-10                  1.262E-10                  7.065E-11                  3.449E-11                  1.698E-10                  7.264E-10                  1.886E-09                  2.101E-09                  7.288E-10                  6.700E-10                  5.391E-10                  2.981E-09                  5.220E-10                  5.042E-09                  6.526E-11                  3.813E-10                  3.044E-08                  2.897E-08                  2.475E-08
26.6                   3.206E-07                  5.317E-10                  1.408E-09                  3.687E-10                  2.460E-10                  1.705E-10                  1.451E-10                  1.249E-10                  6.994E-11                  3.415E-11                  1.696E-10                  7.258E-10                  1.883E-09                  2.098E-09                  7.283E-10                  6.697E-10                  5.394E-10                  2.988E-09                  5.210E-10                  5.035E-09                  6.521E-11                  3.819E-10                  3.070E-08                  2.932E-08                  2.469E-08
26.8                   3.214E-07                  5.264E-10                  1.400E-09                  3.649E-10                  2.435E-10                  1.687E-10                  1.436E-10                  1.237E-10                  6.924E-11                  3.381E-11                  1.695E-10                  7.252E-10                  1.880E-09                  2.094E-09                  7.278E-10                  6.693E-10                  5.398E-10                  2.994E-09                  5.201E-10                  5.028E-09                  6.516E-11                  3.826E-10                  3.096E-08                  2.967E-08                  2.463E-08
27.0                   3.223E-07                  5.211E-10                  1.393E-09                  3.613E-10                  2.411E-10                  1.670E-10                  1.422E-10                  1.224E-10                  6.855E-11                  3.347E-11                  1.693E-10                  7.245E-10                  1.877E-09                  2.090E-09                  7.272E-10                  6.690E-10                  5.401E-10                  3.001E-09                  5.191E-10                  5.020E-09                  6.511E-11                  3.832E-10                  3.122E-08                  3.002E-08                  2.458E-08
27.2                   3.231E-07                  5.159E-10                  1.385E-09                  3.576E-10                  2.387E-10                  1.654E-10                  1.408E-10                  1.212E-10                  6.787E-11                  3.315E-11                  1.692E-10                  7.238E-10                  1.875E-09                  2.087E-09                  7.266E-10                  6.686E-10                  5.404E-10                  3.007E-09                  5.181E-10                  5.013E-09                  6.506E-11                  3.838E-10                  3.148E-08                  3.037E-08                  2.453E-08
27.4                   3.240E-07                  5.108E-10                  1.378E-09                  3.541E-10                  2.363E-10                  1.637E-10                  1.394E-10                  1.200E-10                  6.720E-11                  3.282E-11                  1.690E-10                  7.231E-10                  1.872E-09                  2.083E-09                  7.260E-10                  6.682E-10                  5.406E-10                  3.013E-09                  5.171E-10                  5.005E-09                  6.500E-11                  3.844E-10                  3.173E-08                  3.072E-08                  2.447E-08
27.6                   3.248E-07                  5.058E-10                  1.371E-09                  3.506E-10                  2.340E-10                  1.621E-10                  1.380E-10                  1.188E-10                  6.655E-11                  3.250E-11                  1.688E-10                  7.223E-10                  1.868E-09                  2.079E-09                  7.253E-10                  6.678E-10                  5.409E-10                  3.018E-09                  5.161E-10                  4.998E-09                  6.494E-11                  3.849E-10                  3.199E-08                  3.106E-08                  2.442E-08
27.8                   3.257E-07                  5.009E-10                  1.364E-09                  3.472E-10                  2.317E-10                  1.605E-10                  1.366E-10                  1.177E-10                  6.590E-11                  3.219E-11                  1.686E-10                  7.215E-10                  1.865E-09                  2.075E-09                  7.246E-10                  6.673E-10                  5.412E-10                  3.024E-09                  5.151E-10                  4.990E-09                  6.488E-11                  3.855E-10                  3.224E-08                  3.141E-08                  2.437E-08
28.0                   3.265E-07                  4.960E-10                  1.357E-09                  3.438E-10                  2.294E-10                  1.589E-10                  1.353E-10                  1.165E-10                  6.527E-11                  3.188E-11                  1.684E-10                  7.207E-10                  1.862E-09                  2.071E-09                  7.239E-10                  6.668E-10                  5.414E-10                  3.030E-09                  5.141E-10                  4.982E-09                  6.481E-11                  3.860E-10                  3.250E-08                  3.176E-08                  2.431E-08
28.2                   3.273E-07                  4.913E-10                  1.350E-09                  3.405E-10                  2.272E-10                  1.574E-10                  1.340E-10                  1.154E-10                  6.464E-11                  3.158E-11                  1.682E-10                  7.199E-10                  1.859E-09                  2.067E-09                  7.232E-10                  6.664E-10                  5.416E-10                  3.035E-09                  5.130E-10                  4.973E-09                  6.475E-11                  3.865E-10                  3.275E-08                  3.211E-08                  2.426E-08
28.4                   3.281E-07                  4.866E-10                  1.343E-09                  3.372E-10                  2.250E-10                  1.559E-10                  1.327E-10                  1.143E-10                  6.403E-11                  3.128E-11                  1.680E-10                  7.190E-10                  1.856E-09                  2.063E-09                  7.224E-10                  6.659E-10                  5.419E-10                  3.040E-09                  5.120E-10                  4.965E-09                  6.468E-11                  3.870E-10                  3.300E-08                  3.245E-08                  2.421E-08
28.6                   3.290E-07                  4.819E-10                  1.336E-09                  3.340E-10                  2.228E-10                  1.544E-10                  1.315E-10                  1.132E-10                  6.342E-11                  3.098E-11                  1.678E-10                  7.182E-10                  1.853E-09                  2.059E-09                  7.216E-10                  6.653E-10                  5.421E-10                  3.045E-09                  5.110E-10                  4.956E-09                  6.461E-11                  3.874E-10                  3.325E-08                  3.280E-08                  2.416E-08
28.8                   3.298E-07                  4.774E-10                  1.329E-09                  3.308E-10                  2.207E-10                  1.529E-10                  1.302E-10                  1.122E-10                  6.282E-11                  3.069E-11                  1.676E-10                  7.173E-10                  1.849E-09                  2.055E-09                  7.208E-10                  6.648E-10                  5.423E-10                  3.050E-09                  5.099E-10                  4.948E-09                  6.453E-11                  3.879E-10                  3.350E-08                  3.314E-08                  2.411E-08
29.0                   3.307E-07                  4.729E-10                  1.323E-09                  3.277E-10                  2.186E-10                  1.515E-10                  1.290E-10                  1.111E-10                  6.224E-11                  3.041E-11                  1.674E-10                  7.163E-10                  1.846E-09                  2.051E-09                  7.200E-10                  6.642E-10                  5.425E-10                  3.055E-09                  5.089E-10                  4.939E-09                  6.446E-11                  3.883E-10                  3.374E-08                  3.349E-08                  2.406E-08
29.2                   3.315E-07                  4.685E-10                  1.316E-09                  3.246E-10                  2.166E-10                  1.501E-10                  1.278E-10                  1.101E-10                  6.166E-11                  3.013E-11                  1.672E-10                  7.154E-10                  1.843E-09                  2.047E-09                  7.192E-10                  6.637E-10                  5.427E-10                  3.060E-09                  5.078E-10                  4.930E-09                  6.438E-11                  3.888E-10                  3.399E-08                  3.383E-08                  2.401E-08
29.4                   3.323E-07                  4.641E-10                  1.309E-09                  3.216E-10                  2.146E-10                  1.487E-10                  1.266E-10                  1.091E-10                  6.109E-11                  2.985E-11                  1.670E-10                  7.145E-10                  1.839E-09                  2.042E-09                  7.183E-10                  6.631E-10                  5.428E-10                  3.064E-09                  5.067E-10                  4.921E-09                  6.430E-11                  3.892E-10                  3.423E-08                  3.417E-08                  2.396E-08
29.6                   3.331E-07                  4.599E-10                  1.303E-09                  3.186E-10                  2.126E-10                  1.473E-10                  1.254E-10                  1.080E-10                  6.053E-11                  2.958E-11                  1.668E-10                  7.135E-10                  1.836E-09                  2.038E-09                  7.174E-10                  6.625E-10                  5.430E-10                  3.069E-09                  5.057E-10                  4.912E-09                  6.422E-11                  3.896E-10                  3.447E-08                  3.452E-08                  2.391E-08
29.8                   3.339E-07                  4.556E-10                  1.296E-09                  3.157E-10                  2.106E-10                  1.459E-10                  1.243E-10                  1.071E-10                  5.998E-11                  2.931E-11                  1.665E-10                  7.125E-10                  1.832E-09                  2.034E-09                  7.165E-10                  6.618E-10                  5.432E-10                  3.073E-09                  5.046E-10                  4.902E-09                  6.413E-11                  3.899E-10                  3.471E-08                  3.486E-08                  2.386E-08
30.0                   3.347E-07                  4.515E-10                  1.290E-09                  3.128E-10                  2.087E-10                  1.446E-10                  1.231E-10                  1.061E-10                  5.943E-11                  2.905E-11                  1.663E-10                  7.115E-10                  1.829E-09                  2.030E-09                  7.156E-10                  6.612E-10                  5.433E-10                  3.078E-09                  5.035E-10                  4.893E-09                  6.405E-11                  3.903E-10                  3.495E-08                  3.520E-08                  2.381E-08
30.2                   3.354E-07                  4.474E-10                  1.284E-09                  3.099E-10                  2.068E-10                  1.433E-10                  1.220E-10                  1.051E-10                  5.890E-11                  2.879E-11                  1.660E-10                  7.105E-10                  1.825E-09                  2.025E-09                  7.146E-10                  6.606E-10                  5.435E-10                  3.082E-09                  5.024E-10                  4.884E-09                  6.396E-11                  3.907E-10                  3.519E-08                  3.554E-08                  2.377E-08
30.4                   3.362E-07                  4.434E-10                  1.277E-09                  3.071E-10                  2.049E-10                  1.420E-10                  1.209E-10                  1.042E-10                  5.837E-11                  2.853E-11                  1.658E-10                  7.094E-10                  1.822E-09                  2.021E-09                  7.137E-10                  6.599E-10                  5.436E-10                  3.086E-09                  5.013E-10                  4.874E-09                  6.387E-11                  3.910E-10                  3.543E-08                  3.588E-08                  2.372E-08
30.6                   3.369E-07                  4.394E-10                  1.271E-09                  3.044E-10                  2.031E-10                  1.407E-10                  1.198E-10                  1.032E-10                  5.785E-11                  2.828E-11                  1.656E-10                  7.084E-10                  1.818E-09                  2.016E-09                  7.127E-10                  6.592E-10                  5.437E-10                  3.090E-09                  5.002E-10                  4.864E-09                  6.378E-11                  3.913E-10                  3.566E-08                  3.622E-08                  2.367E-08
30.8                   3.377E-07                  4.355E-10                  1.265E-09                  3.017E-10                  2.012E-10                  1.395E-10                  1.188E-10                  1.023E-10                  5.734E-11                  2.803E-11                  1.653E-10                  7.073E-10                  1.814E-09                  2.012E-09                  7.117E-10                  6.585E-10                  5.439E-10                  3.093E-09                  4.991E-10                  4.855E-09                  6.369E-11                  3.916E-10                  3.590E-08                  3.656E-08                  2.363E-08
31.0                   3.385E-07                  4.317E-10                  1.259E-09                  2.990E-10                  1.995E-10                  1.382E-10                  1.177E-10                  1.014E-10                  5.684E-11                  2.778E-11                  1.651E-10                  7.062E-10                  1.811E-09                  2.008E-09                  7.107E-10                  6.578E-10                  5.440E-10                  3.097E-09                  4.980E-10                  4.845E-09                  6.359E-11                  3.919E-10                  3.613E-08                  3.690E-08                  2.358E-08
31.2                   3.393E-07                  4.279E-10                  1.253E-09                  2.964E-10                  1.977E-10                  1.370E-10                  1.167E-10                  1.005E-10                  5.634E-11                  2.754E-11                  1.648E-10                  7.051E-10                  1.807E-09                  2.003E-09                  7.097E-10                  6.571E-10                  5.441E-10                  3.101E-09                  4.969E-10                  4.835E-09                  6.350E-11                  3.922E-10                  3.636E-08                  3.724E-08                  2.354E-08
31.4                   3.400E-07                  4.241E-10                  1.247E-09                  2.937E-10                  1.960E-10                  1.358E-10                  1.157E-10                  9.965E-11                  5.585E-11                  2.730E-11                  1.645E-10                  7.040E-10                  1.803E-09                  1.999E-09                  7.086E-10                  6.564E-10                  5.442E-10                  3.104E-09                  4.958E-10                  4.825E-09                  6.340E-11                  3.925E-10                  3.659E-08                  3.758E-08                  2.349E-08
31.6                   3.408E-07                  4.204E-10                  1.241E-09                  2.912E-10                  1.942E-10                  1.346E-10                  1.146E-10                  9.878E-11                  5.537E-11                  2.707E-11                  1.643E-10                  7.029E-10                  1.800E-09                  1.994E-09                  7.076E-10                  6.556E-10                  5.443E-10                  3.108E-09                  4.947E-10                  4.815E-09                  6.330E-11                  3.927E-10                  3.682E-08                  3.792E-08                  2.345E-08
31.8                   3.415E-07                  4.168E-10                  1.235E-09                  2.887E-10                  1.926E-10                  1.334E-10                  1.137E-10                  9.793E-11                  5.489E-11                  2.684E-11                  1.640E-10                  7.017E-10                  1.796E-09                  1.989E-09                  7.065E-10                  6.549E-10                  5.444E-10                  3.111E-09                  4.936E-10                  4.805E-09                  6.320E-11                  3.930E-10                  3.705E-08                  3.825E-08                  2.340E-08
32.0                   3.423E-07                  4.132E-10                  1.229E-09                  2.862E-10                  1.909E-10                  1.323E-10                  1.127E-10                  9.708E-11                  5.442E-11                  2.661E-11                  1.638E-10                  7.006E-10                  1.792E-09                  1.985E-09                  7.054E-10                  6.541E-10                  5.445E-10                  3.114E-09                  4.925E-10                  4.794E-09                  6.310E-11                  3.932E-10                  3.728E-08                  3.859E-08                  2.336E-08
32.2                   3.430E-07                  4.097E-10                  1.223E-09                  2.837E-10                  1.892E-10                  1.312E-10                  1.117E-10                  9.625E-11                  5.396E-11                  2.638E-11                  1.635E-10                  6.994E-10                  1.788E-09                  1.980E-09                  7.043E-10                  6.533E-10                  5.445E-10                  3.117E-09                  4.914E-10                  4.784E-09                  6.300E-11                  3.935E-10                  3.750E-08                  3.892E-08                  2.331E-08
32.4                   3.438E-07                  4.062E-10                  1.218E-09                  2.813E-10                  1.876E-10                  1.300E-10                  1.108E-10                  9.544E-11                  5.350E-11                  2.616E-11                  1.632E-10                  6.983E-10                  1.785E-09                  1.976E-09                  7.032E-10                  6.526E-10                  5.446E-10                  3.120E-09                  4.902E-10                  4.774E-09                  6.290E-11                  3.937E-10                  3.773E-08                  3.926E-08                  2.327E-08
32.6                   3.445E-07                  4.028E-10                  1.212E-09                  2.789E-10                  1.860E-10                  1.289E-10                  1.098E-10                  9.463E-11                  5.305E-11                  2.594E-11                  1.629E-10                  6.971E-10                  1.781E-09                  1.971E-09                  7.021E-10                  6.518E-10                  5.447E-10                  3.123E-09                  4.891E-10                  4.763E-09                  6.280E-11                  3.939E-10                  3.795E-08                  3.959E-08                  2.323E-08
32.8                   3.453E-07                  3.994E-10                  1.206E-09                  2.766E-10                  1.845E-10                  1.278E-10                  1.089E-10                  9.384E-11                  5.261E-11                  2.573E-11                  1.627E-10                  6.959E-10                  1.777E-09                  1.966E-09                  7.010E-10                  6.510E-10                  5.447E-10                  3.126E-09                  4.880E-10                  4.753E-09                  6.269E-11                  3.941E-10                  3.817E-08                  3.993E-08                  2.319E-08
33.0                   3.460E-07                  3.961E-10                  1.201E-09                  2.742E-10                  1.829E-10                  1.268E-10                  1.080E-10                  9.305E-11                  5.217E-11                  2.551E-11                  1.624E-10                  6.947E-10                  1.773E-09                  1.962E-09                  6.998E-10                  6.502E-10                  5.448E-10                  3.129E-09                  4.869E-10                  4.742E-09                  6.259E-11                  3.943E-10                  3.839E-08                  4.026E-08                  2.314E-08
33.2                   3.467E-07                  3.928E-10                  1.195E-09                  2.720E-10                  1.814E-10                  1.257E-10                  1.071E-10                  9.228E-11                  5.174E-11                  2.530E-11                  1.621E-10                  6.935E-10                  1.769E-09                  1.957E-09                  6.987E-10                  6.493E-10                  5.449E-10                  3.131E-09                  4.857E-10                  4.732E-09                  6.248E-11                  3.944E-10                  3.861E-08                  4.059E-08                  2.310E-08
33.4                   3.475E-07                  3.895E-10                  1.190E-09                  2.697E-10                  1.799E-10                  1.247E-10                  1.062E-10                  9.152E-11                  5.131E-11                  2.510E-11                  1.618E-10                  6.922E-10                  1.765E-09                  1.953E-09                  6.975E-10                  6.485E-10                  5.449E-10                  3.134E-09                  4.846E-10                  4.721E-09                  6.237E-11                  3.946E-10                  3.883E-08                  4.092E-08                  2.306E-08
33.6                   3.482E-07                  3.863E-10                  1.184E-09                  2.675E-10                  1.784E-10                  1.236E-10                  1.053E-10                  9.076E-11                  5.089E-11                  2.489E-11                  1.615E-10                  6.910E-10                  1.762E-09                  1.948E-09                  6.963E-10                  6.477E-10                  5.450E-10                  3.136E-09                  4.835E-10                  4.710E-09                  6.226E-11                  3.948E-10                  3.905E-08                  4.125E-08                  2.302E-08
33.8                   3.489E-07                  3.832E-10                  1.179E-09                  2.653E-10                  1.769E-10                  1.226E-10                  1.045E-10                  9.002E-11                  5.048E-11                  2.469E-11                  1.612E-10                  6.898E-10                  1.758E-09                  1.943E-09                  6.951E-10                  6.468E-10                  5.450E-10                  3.139E-09                  4.824E-10                  4.700E-09                  6.215E-11                  3.949E-10                  3.926E-08                  4.158E-08                  2.298E-08
34.0                   3.496E-07                  3.801E-10                  1.174E-09                  2.631E-10                  1.755E-10                  1.216E-10                  1.036E-10                  8.929E-11                  5.007E-11                  2.449E-11                  1.610E-10                  6.885E-10                  1.754E-09                  1.938E-09                  6.940E-10                  6.460E-10                  5.450E-10                  3.141E-09                  4.812E-10                  4.689E-09                  6.204E-11                  3.951E-10                  3.948E-08                  4.191E-08                  2.294E-08
34.2                   3.503E-07                  3.770E-10                  1.168E-09                  2.610E-10                  1.741E-10                  1.206E-10                  1.028E-10                  8.857E-11                  4.967E-11                  2.429E-11                  1.607E-10                  6.873E-10                  1.750E-09                  1.934E-09                  6.927E-10                  6.451E-10                  5.451E-10                  3.144E-09                  4.801E-10                  4.678E-09                  6.193E-11                  3.952E-10                  3.969E-08                  4.224E-08                  2.290E-08
34.4                   3.509E-07                  3.740E-10                  1.163E-09                  2.589E-10                  1.726E-10                  1.197E-10                  1.019E-10                  8.785E-11                  4.927E-11                  2.410E-11                  1.604E-10                  6.860E-10                  1.746E-09                  1.929E-09                  6.915E-10                  6.443E-10                  5.451E-10                  3.146E-09                  4.790E-10                  4.667E-09                  6.182E-11                  3.953E-10                  3.990E-08                  4.257E-08                  2.286E-08
34.6                   3.516E-07                  3.710E-10                  1.158E-09                  2.568E-10                  1.713E-10                  1.187E-10                  1.011E-10                  8.715E-11                  4.888E-11                  2.391E-11                  1.601E-10                  6.847E-10                  1.742E-09                  1.924E-09                  6.903E-10                  6.434E-10                  5.451E-10                  3.148E-09                  4.779E-10                  4.657E-09                  6.171E-11                  3.954E-10                  4.011E-08                  4.289E-08                  2.282E-08
34.8                   3.523E-07                  3.680E-10                  1.153E-09                  2.547E-10                  1.699E-10                  1.177E-10                  1.003E-10                  8.646E-11                  4.849E-11                  2.372E-11                  1.598E-10                  6.834E-10                  1.738E-09                  1.920E-09                  6.891E-10                  6.425E-10                  5.451E-10                  3.150E-09                  4.767E-10                  4.646E-09                  6.159E-11                  3.955E-10                  4.032E-08                  4.322E-08                  2.278E-08
35.0                   3.530E-07                  3.651E-10                  1.147E-09                  2.527E-10                  1.685E-10                  1.168E-10                  9.953E-11                  8.577E-11                  4.811E-11                  2.353E-11                  1.595E-10                  6.822E-10                  1.734E-09                  1.915E-09                  6.879E-10                  6.416E-10                  5.452E-10                  3.152E-09                  4.756E-10                  4.635E-09                  6.148E-11                  3.956E-10                  4.053E-08                  4.354E-08                  2.274E-08
35.2                   3.536E-07                  3.622E-10                  1.142E-09                  2.507E-10                  1.672E-10                  1.159E-10                  9.874E-11                  8.510E-11                  4.773E-11                  2.335E-11                  1.592E-10                  6.809E-10                  1.730E-09                  1.910E-09                  6.866E-10                  6.407E-10                  5.452E-10                  3.154E-09                  4.745E-10                  4.624E-09                  6.136E-11                  3.957E-10                  4.074E-08                  4.387E-08                  2.270E-08
35.4                   3.543E-07                  3.594E-10                  1.137E-09                  2.488E-10                  1.659E-10                  1.150E-10                  9.797E-11                  8.443E-11                  4.736E-11                  2.317E-11                  1.589E-10                  6.796E-10                  1.726E-09                  1.905E-09                  6.854E-10                  6.398E-10                  5.452E-10                  3.156E-09                  4.734E-10                  4.613E-09                  6.125E-11                  3.958E-10                  4.094E-08                  4.419E-08                  2.266E-08
35.6                   3.550E-07                  3.566E-10                  1.132E-09                  2.468E-10                  1.646E-10                  1.141E-10                  9.720E-11                  8.377E-11                  4.699E-11                  2.299E-11                  1.586E-10                  6.783E-10                  1.722E-09                  1.901E-09                  6.841E-10                  6.389E-10                  5.452E-10                  3.157E-09                  4.722E-10                  4.602E-09                  6.113E-11                  3.959E-10                  4.115E-08                  4.452E-08                  2.262E-08
35.8                   3.557E-07                  3.538E-10                  1.127E-09                  2.449E-10                  1.633E-10                  1.132E-10                  9.645E-11                  8.312E-11                  4.663E-11                  2.281E-11                  1.583E-10                  6.769E-10                  1.718E-09                  1.896E-09                  6.829E-10                  6.380E-10                  5.452E-10                  3.159E-09                  4.711E-10                  4.591E-09                  6.101E-11                  3.959E-10                  4.135E-08                  4.484E-08                  2.258E-08
36.0                   3.563E-07                  3.511E-10                  1.122E-09                  2.430E-10                  1.620E-10                  1.123E-10                  9.570E-11                  8.248E-11                  4.627E-11                  2.264E-11                  1.580E-10                  6.756E-10                  1.714E-09                  1.891E-09                  6.816E-10                  6.371E-10                  5.452E-10                  3.161E-09                  4.700E-10                  4.580E-09                  6.090E-11                  3.960E-10                  4.156E-08                  4.516E-08                  2.255E-08
36.2                   3.570E-07                  3.484E-10                  1.117E-09                  2.411E-10                  1.608E-10                  1.114E-10                  9.497E-11                  8.185E-11                  4.592E-11                  2.247E-11                  1.577E-10                  6.743E-10                  1.710E-09                  1.887E-09                  6.803E-10                  6.362E-10                  5.452E-10                  3.162E-09                  4.689E-10                  4.569E-09                  6.078E-11                  3.961E-10                  4.176E-08                  4.548E-08                  2.251E-08
36.4                   3.576E-07                  3.457E-10                  1.113E-09                  2.393E-10                  1.596E-10                  1.106E-10                  9.424E-11                  8.122E-11                  4.557E-11                  2.230E-11                  1.574E-10                  6.730E-10                  1.706E-09                  1.882E-09                  6.790E-10                  6.352E-10                  5.452E-10                  3.164E-09                  4.678E-10                  4.558E-09                  6.066E-11                  3.961E-10                  4.196E-08                  4.580E-08                  2.247E-08
36.6                   3.582E-07                  3.431E-10                  1.108E-09                  2.374E-10                  1.583E-10                  1.097E-10                  9.352E-11                  8.061E-11                  4.522E-11                  2.213E-11                  1.570E-10                  6.717E-10                  1.703E-09                  1.877E-09                  6.778E-10                  6.343E-10                  5.452E-10                  3.165E-09                  4.666E-10                  4.547E-09                  6.054E-11                  3.961E-10                  4.216E-08                  4.612E-08                  2.244E-08
36.8                   3.589E-07                  3.405E-10                  1.103E-09                  2.356E-10                  1.571E-10                  1.089E-10                  9.281E-11                  8.000E-11                  4.488E-11                  2.196E-11                  1.567E-10                  6.703E-10                  1.699E-09                  1.872E-09                  6.765E-10                  6.334E-10                  5.452E-10                  3.167E-09                  4.655E-10                  4.536E-09                  6.042E-11                  3.962E-10                  4.236E-08                  4.644E-08                  2.240E-08
