!Thresh(eV)            0.00                       0.02                       0.291                      0.59                       0.88                       1.17                       1.47                       1.76                       2.06                       2.35                       6.17                       7.00                       7.35                       7.36                       7.80                       8.16                       8.40                       8.55                       8.89                       11.03                      11.87                      12.25                      13.0                       15.6                       0.00
!Reaction              e+N2(X1)->e+N2(X1)         e+N2(X1)->e+N2(Rot)        e+N2(X1)->e+N2(v1)         e+N2(X1)->e+N2(v2)         e+N2(X1)->e+N2(v3)         e+N2(X1)->e+N2(v4)         e+N2(X1)->e+N2(v5)         e+N2(X1)->e+N2(v6)         e+N2(X1)->e+N2(v7)         e+N2(X1)->e+N2(v8)         e+N2(X1)->e+N2(A3,v0-4)    e+N2(X1)->e+N2(A3,v5-9)    e+N2(X1)->e+N2(B3)         e+N2(X1)->e+N2(W3)         e+N2(X1)->e+N2(A3,v10-)    e+N2(X1)->e+N2(B'3)        e+N2(X1)->e+N2(a'1)        e+N2(X1)->e+N2(a1)         e+N2(X1)->e+N2(w1)         e+N2(X1)->e+N2(C3)         e+N2(X1)->e+N2(E3)         e+N2(X1)->e+N2(a''1)       e+N2(X1)->e+N2(sum)        e+N2(X1)->e+e+N2(X2:ion)   e+N2(X2:ion)->N(4S)+N(4S)
!Type                  Ground/MomXfer             Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Ionization                 Recombination
!<E> (eV)              Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)
!---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 2.0                   1.222E-07                  4.455E-09                  5.505E-09                  3.243E-09                  2.226E-09                  1.493E-09                  1.209E-09                  9.901E-10                  5.019E-10                  2.221E-10                  1.190E-12                  3.817E-12                  1.564E-11                  8.234E-12                  2.542E-12                  2.320E-12                  1.758E-12                  3.846E-12                  2.238E-12                  4.924E-12                  1.306E-13                  7.853E-14                  6.529E-13                  6.527E-14                  5.366E-08
 2.2                   1.280E-07                  4.563E-09                  5.636E-09                  3.314E-09                  2.271E-09                  1.529E-09                  1.244E-09                  1.025E-09                  5.244E-10                  2.344E-10                  1.978E-12                  6.619E-12                  2.691E-11                  1.492E-11                  4.651E-12                  4.302E-12                  3.302E-12                  7.354E-12                  4.249E-12                  1.100E-11                  2.631E-13                  1.905E-13                  1.709E-12                  2.038E-13                  5.215E-08
 2.4                   1.331E-07                  4.606E-09                  5.691E-09                  3.338E-09                  2.283E-09                  1.542E-09                  1.260E-09                  1.043E-09                  5.379E-10                  2.424E-10                  3.036E-12                  1.050E-11                  4.228E-11                  2.459E-11                  7.709E-12                  7.218E-12                  5.592E-12                  1.268E-11                  7.238E-12                  2.142E-11                  4.684E-13                  3.996E-13                  3.835E-12                  5.302E-13                  5.081E-08
 2.6                   1.374E-07                  4.602E-09                  5.691E-09                  3.328E-09                  2.273E-09                  1.539E-09                  1.261E-09                  1.048E-09                  5.444E-10                  2.470E-10                  4.380E-12                  1.557E-11                  6.195E-11                  3.765E-11                  1.184E-11                  1.120E-11                  8.738E-12                  2.019E-11                  1.134E-11                  3.751E-11                  7.585E-13                  7.492E-13                  7.647E-12                  1.198E-12                  4.960E-08
 2.8                   1.414E-07                  4.562E-09                  5.650E-09                  3.292E-09                  2.245E-09                  1.524E-09                  1.253E-09                  1.044E-09                  5.455E-10                  2.490E-10                  6.013E-12                  2.184E-11                  8.587E-11                  5.435E-11                  1.711E-11                  1.633E-11                  1.281E-11                  3.016E-11                  1.663E-11                  6.044E-11                  1.141E-12                  1.285E-12                  1.388E-11                  2.424E-12                  4.851E-08
 3.0                   1.449E-07                  4.497E-09                  5.580E-09                  3.239E-09                  2.206E-09                  1.500E-09                  1.236E-09                  1.033E-09                  5.426E-10                  2.489E-10                  7.930E-12                  2.933E-11                  1.139E-10                  7.485E-11                  2.356E-11                  2.266E-11                  1.784E-11                  4.280E-11                  2.314E-11                  9.110E-11                  1.621E-12                  2.053E-12                  2.337E-11                  4.486E-12                  4.752E-08
 3.2                   1.480E-07                  4.415E-09                  5.490E-09                  3.174E-09                  2.160E-09                  1.470E-09                  1.215E-09                  1.018E-09                  5.368E-10                  2.474E-10                  1.012E-11                  3.800E-11                  1.456E-10                  9.914E-11                  3.117E-11                  3.016E-11                  2.382E-11                  5.825E-11                  3.083E-11                  1.301E-10                  2.196E-12                  3.093E-12                  3.699E-11                  7.718E-12                  4.661E-08
 3.4                   1.509E-07                  4.321E-09                  5.386E-09                  3.101E-09                  2.108E-09                  1.437E-09                  1.189E-09                  9.985E-10                  5.288E-10                  2.446E-10                  1.256E-11                  4.778E-11                  1.807E-10                  1.271E-10                  3.991E-11                  3.881E-11                  3.072E-11                  7.654E-11                  3.964E-11                  1.777E-10                  2.865E-12                  4.442E-12                  5.563E-11                  1.250E-11                  4.577E-08
 3.6                   1.540E-07                  4.219E-09                  5.273E-09                  3.023E-09                  2.053E-09                  1.401E-09                  1.162E-09                  9.771E-10                  5.192E-10                  2.410E-10                  1.523E-11                  5.859E-11                  2.187E-10                  1.586E-10                  4.971E-11                  4.852E-11                  3.847E-11                  9.767E-11                  4.949E-11                  2.340E-10                  3.621E-12                  6.125E-12                  8.017E-11                  1.927E-11                  4.499E-08
 3.8                   1.565E-07                  4.112E-09                  5.156E-09                  2.942E-09                  1.996E-09                  1.364E-09                  1.132E-09                  9.541E-10                  5.086E-10                  2.368E-10                  1.811E-11                  7.034E-11                  2.592E-10                  1.934E-10                  6.049E-11                  5.922E-11                  4.700E-11                  1.216E-10                  6.025E-11                  2.987E-10                  4.460E-12                  8.162E-12                  1.114E-10                  2.845E-11                  4.426E-08
 4.0                   1.592E-07                  4.003E-09                  5.035E-09                  2.860E-09                  1.938E-09                  1.326E-09                  1.102E-09                  9.302E-10                  4.972E-10                  2.322E-10                  2.117E-11                  8.291E-11                  3.018E-10                  2.311E-10                  7.217E-11                  7.079E-11                  5.622E-11                  1.481E-10                  7.180E-11                  3.713E-10                  5.373E-12                  1.056E-11                  1.502E-10                  4.050E-11                  4.359E-08
 4.2                   1.615E-07                  3.893E-09                  4.915E-09                  2.778E-09                  1.881E-09                  1.288E-09                  1.072E-09                  9.058E-10                  4.855E-10                  2.273E-10                  2.439E-11                  9.621E-11                  3.459E-10                  2.715E-10                  8.463E-11                  8.313E-11                  6.604E-11                  1.772E-10                  8.404E-11                  4.513E-10                  6.354E-12                  1.333E-11                  1.970E-10                  5.590E-11                  4.295E-08
 4.4                   1.642E-07                  3.784E-09                  4.795E-09                  2.696E-09                  1.825E-09                  1.250E-09                  1.042E-09                  8.814E-10                  4.735E-10                  2.222E-10                  2.774E-11                  1.101E-10                  3.913E-10                  3.143E-10                  9.778E-11                  9.613E-11                  7.637E-11                  2.086E-10                  9.682E-11                  5.381E-10                  7.393E-12                  1.647E-11                  2.526E-10                  7.507E-11                  4.236E-08
 4.6                   1.662E-07                  3.676E-09                  4.679E-09                  2.617E-09                  1.770E-09                  1.213E-09                  1.012E-09                  8.571E-10                  4.614E-10                  2.170E-10                  3.119E-11                  1.246E-10                  4.376E-10                  3.590E-10                  1.115E-10                  1.097E-10                  8.712E-11                  2.422E-10                  1.100E-10                  6.309E-10                  8.484E-12                  1.996E-11                  3.173E-10                  9.847E-11                  4.180E-08
 4.8                   1.689E-07                  3.570E-09                  4.564E-09                  2.539E-09                  1.716E-09                  1.177E-09                  9.832E-10                  8.332E-10                  4.494E-10                  2.117E-10                  3.474E-11                  1.394E-10                  4.844E-10                  4.054E-10                  1.257E-10                  1.237E-10                  9.821E-11                  2.777E-10                  1.236E-10                  7.289E-10                  9.620E-12                  2.379E-11                  3.916E-10                  1.265E-10                  4.127E-08
 5.0                   1.710E-07                  3.467E-09                  4.453E-09                  2.463E-09                  1.664E-09                  1.142E-09                  9.547E-10                  8.097E-10                  4.375E-10                  2.065E-10                  3.834E-11                  1.546E-10                  5.315E-10                  4.531E-10                  1.404E-10                  1.380E-10                  1.095E-10                  3.150E-10                  1.374E-10                  8.314E-10                  1.079E-11                  2.794E-11                  4.758E-10                  1.595E-10                  4.077E-08
 5.2                   1.730E-07                  3.367E-09                  4.346E-09                  2.389E-09                  1.614E-09                  1.108E-09                  9.270E-10                  7.869E-10                  4.259E-10                  2.013E-10                  4.199E-11                  1.700E-10                  5.787E-10                  5.018E-10                  1.553E-10                  1.526E-10                  1.211E-10                  3.538E-10                  1.513E-10                  9.376E-10                  1.200E-11                  3.240E-11                  5.700E-10                  1.979E-10                  4.029E-08
 5.4                   1.756E-07                  3.270E-09                  4.242E-09                  2.319E-09                  1.565E-09                  1.075E-09                  9.002E-10                  7.646E-10                  4.145E-10                  1.962E-10                  4.567E-11                  1.856E-10                  6.256E-10                  5.513E-10                  1.705E-10                  1.673E-10                  1.327E-10                  3.940E-10                  1.652E-10                  1.047E-09                  1.323E-11                  3.713E-11                  6.743E-10                  2.420E-10                  3.984E-08
 5.6                   1.776E-07                  3.176E-09                  4.142E-09                  2.250E-09                  1.518E-09                  1.043E-09                  8.742E-10                  7.431E-10                  4.034E-10                  1.912E-10                  4.936E-11                  2.013E-10                  6.722E-10                  6.013E-10                  1.858E-10                  1.822E-10                  1.444E-10                  4.354E-10                  1.792E-10                  1.159E-09                  1.448E-11                  4.212E-11                  7.889E-10                  2.920E-10                  3.940E-08
 5.8                   1.795E-07                  3.086E-09                  4.046E-09                  2.184E-09                  1.473E-09                  1.013E-09                  8.492E-10                  7.222E-10                  3.926E-10                  1.864E-10                  5.305E-11                  2.170E-10                  7.182E-10                  6.516E-10                  2.012E-10                  1.970E-10                  1.560E-10                  4.778E-10                  1.930E-10                  1.272E-09                  1.575E-11                  4.734E-11                  9.137E-10                  3.482E-10                  3.899E-08
 6.0                   1.819E-07                  2.999E-09                  3.955E-09                  2.121E-09                  1.430E-09                  9.833E-10                  8.250E-10                  7.021E-10                  3.821E-10                  1.816E-10                  5.672E-11                  2.326E-10                  7.635E-10                  7.019E-10                  2.167E-10                  2.118E-10                  1.677E-10                  5.211E-10                  2.068E-10                  1.386E-09                  1.702E-11                  5.276E-11                  1.049E-09                  4.108E-10                  3.860E-08
 6.2                   1.839E-07                  2.915E-09                  3.866E-09                  2.060E-09                  1.388E-09                  9.550E-10                  8.017E-10                  6.827E-10                  3.720E-10                  1.770E-10                  6.037E-11                  2.482E-10                  8.081E-10                  7.520E-10                  2.321E-10                  2.266E-10                  1.792E-10                  5.651E-10                  2.203E-10                  1.502E-09                  1.830E-11                  5.836E-11                  1.193E-09                  4.800E-10                  3.822E-08
 6.4                   1.859E-07                  2.834E-09                  3.782E-09                  2.001E-09                  1.348E-09                  9.278E-10                  7.794E-10                  6.639E-10                  3.622E-10                  1.725E-10                  6.398E-11                  2.637E-10                  8.518E-10                  8.018E-10                  2.474E-10                  2.412E-10                  1.906E-10                  6.096E-10                  2.336E-10                  1.617E-09                  1.959E-11                  6.411E-11                  1.348E-09                  5.560E-10                  3.786E-08
 6.6                   1.879E-07                  2.756E-09                  3.701E-09                  1.945E-09                  1.310E-09                  9.017E-10                  7.578E-10                  6.459E-10                  3.527E-10                  1.682E-10                  6.755E-11                  2.791E-10                  8.945E-10                  8.512E-10                  2.627E-10                  2.556E-10                  2.018E-10                  6.545E-10                  2.467E-10                  1.732E-09                  2.087E-11                  6.999E-11                  1.512E-09                  6.388E-10                  3.751E-08
 6.8                   1.900E-07                  2.681E-09                  3.624E-09                  1.891E-09                  1.273E-09                  8.767E-10                  7.371E-10                  6.285E-10                  3.435E-10                  1.639E-10                  7.107E-11                  2.942E-10                  9.363E-10                  9.000E-10                  2.778E-10                  2.698E-10                  2.129E-10                  6.997E-10                  2.595E-10                  1.846E-09                  2.215E-11                  7.599E-11                  1.686E-09                  7.286E-10                  3.717E-08
 7.0                   1.918E-07                  2.609E-09                  3.550E-09                  1.839E-09                  1.238E-09                  8.526E-10                  7.172E-10                  6.118E-10                  3.347E-10                  1.599E-10                  7.453E-11                  3.091E-10                  9.770E-10                  9.480E-10                  2.927E-10                  2.838E-10                  2.237E-10                  7.450E-10                  2.719E-10                  1.960E-09                  2.342E-11                  8.207E-11                  1.869E-09                  8.254E-10                  3.685E-08
 7.2                   1.939E-07                  2.540E-09                  3.479E-09                  1.790E-09                  1.204E-09                  8.295E-10                  6.981E-10                  5.957E-10                  3.262E-10                  1.559E-10                  7.793E-11                  3.238E-10                  1.017E-09                  9.953E-10                  3.073E-10                  2.976E-10                  2.344E-10                  7.905E-10                  2.841E-10                  2.072E-09                  2.468E-11                  8.822E-11                  2.060E-09                  9.292E-10                  3.654E-08
 7.4                   1.960E-07                  2.473E-09                  3.412E-09                  1.742E-09                  1.172E-09                  8.073E-10                  6.797E-10                  5.802E-10                  3.179E-10                  1.521E-10                  8.126E-11                  3.382E-10                  1.055E-09                  1.042E-09                  3.218E-10                  3.110E-10                  2.448E-10                  8.359E-10                  2.959E-10                  2.183E-09                  2.594E-11                  9.442E-11                  2.260E-09                  1.040E-09                  3.624E-08
