!Thresh(eV)                 0.0                         0.02                        0.29                        0.291                       0.59                        0.88                        1.17                        1.47                        1.76                        11.03                       11.87                       12.25                       13.0                        2.06                        2.35                        6.17                        7.0                         7.35                        7.36                        7.8                         8.16                        8.4                         8.55                        8.89                        15.6                        18.8                        
!Reaction                   e+N2(X1)->e+N2(X1)          e+N2(X1)->e+N2(Rot)         e+N2(X1)->e+N2(v1)          e+N2(X1)->e+N2(v1res)       e+N2(X1)->e+N2(v2)          e+N2(X1)->e+N2(v3)          e+N2(X1)->e+N2(v4)          e+N2(X1)->e+N2(v5)          e+N2(X1)->e+N2(v6)          e+N2(X1)->e+N2(C3)          e+N2(X1)->e+N2(e3)          e+N2(X1)->e+N2(a''1)        e+N2(X1)->e+N2(SUM)         e+N2(X1)->e+N2(v7)          e+N2(X1)->e+N2(v8)          e+N2(X1)->e+N2(A3,v0-4)     e+N2(X1)->e+N2(A3,v5-9)     e+N2(X1)->e+N2(B3)          e+N2(X1)->e+N2(W3)          e+N2(X1)->e+N2(A3,v10-)     e+N2(X1)->e+N2(B'3)         e+N2(X1)->e+N2(a'1)         e+N2(X1)->e+N2(a1)          e+N2(X1)->e+N2(w1)          e+N2(X1)->e+e+N2(X2:ion)    e+N2(X1)->e+e+N2(X2:ion:B2SIGMA)
!Type                       Effective                   Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Ionization                  Ionization                  
!<E> (eV)                   Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1.159e+00                   7.188e-14                   2.763e-23                   0.000e+00                   1.670e-15                   1.580e-16                   2.352e-15                   1.165e-15                   7.180e-16                   2.775e-16                   1.690e-16                   6.570e-17                   5.164e-20                   4.315e-21                   6.793e-22                   2.738e-21                   1.878e-17                   4.925e-18                   6.684e-20                   2.164e-19                   9.135e-19                   4.371e-19                   1.328e-19                   1.157e-19                   8.461e-20                   1.769e-19                   1.040e-19
1.196e+00                   7.329e-14                   1.470e-22                   1.727e-25                   1.853e-15                   1.573e-16                   2.595e-15                   1.319e-15                   8.339e-16                   3.459e-16                   2.172e-16                   9.358e-17                   1.582e-19                   1.189e-20                   2.257e-21                   1.012e-20                   2.883e-17                   8.205e-18                   1.489e-19                   4.938e-19                   2.083e-18                   1.024e-18                   3.157e-19                   2.772e-19                   2.053e-19                   4.324e-19                   2.578e-19
1.244e+00                   7.491e-14                   6.028e-22                   1.035e-24                   2.035e-15                   1.574e-16                   2.833e-15                   1.470e-15                   9.478e-16                   4.177e-16                   2.688e-16                   1.259e-16                   4.074e-19                   2.831e-20                   6.235e-21                   3.064e-20                   4.150e-17                   1.263e-17                   2.930e-19                   9.912e-19                   4.173e-18                   2.105e-18                   6.563e-19                   5.805e-19                   4.346e-19                   9.213e-19                   5.547e-19
1.305e+00                   7.677e-14                   2.008e-21                   4.758e-24                   2.213e-15                   1.585e-16                   3.048e-15                   1.620e-15                   1.057e-15                   4.888e-16                   3.226e-16                   1.628e-16                   9.113e-19                   5.750e-20                   1.484e-20                   7.902e-20                   5.620e-17                   1.809e-17                   5.203e-19                   1.791e-18                   7.520e-18                   3.884e-18                   1.222e-18                   1.088e-18                   8.224e-19                   1.754e-18                   1.063e-18
1.382e+00                   7.887e-14                   5.681e-21                   1.771e-23                   2.382e-15                   1.605e-16                   3.264e-15                   1.752e-15                   1.159e-15                   5.604e-16                   3.769e-16                   2.007e-16                   1.822e-18                   1.071e-19                   3.142e-20                   1.794e-19                   7.283e-17                   2.455e-17                   8.519e-19                   2.975e-18                   1.246e-17                   6.578e-18                   2.083e-18                   1.870e-18                   1.424e-18                   3.054e-18                   1.858e-18
1.474e+00                   8.121e-14                   1.405e-20                   5.550e-23                   2.541e-15                   1.639e-16                   3.445e-15                   1.876e-15                   1.254e-15                   6.285e-16                   4.299e-16                   2.401e-16                   3.322e-18                   1.801e-19                   6.033e-20                   3.666e-19                   9.086e-17                   3.177e-17                   1.304e-18                   4.614e-18                   1.926e-17                   1.038e-17                   3.305e-18                   2.987e-18                   2.290e-18                   4.940e-18                   3.010e-18
1.582e+00                   8.379e-14                   3.120e-20                   1.517e-22                   2.689e-15                   1.681e-16                   3.616e-15                   1.994e-15                   1.343e-15                   6.935e-16                   4.820e-16                   2.808e-16                   5.627e-18                   2.888e-19                   1.073e-19                   6.898e-19                   1.099e-16                   3.969e-17                   1.894e-18                   6.779e-18                   2.819e-17                   1.549e-17                   4.954e-18                   4.508e-18                   3.476e-18                   7.541e-18                   4.594e-18
1.703e+00                   8.654e-14                   6.329e-20                   3.689e-22                   2.822e-15                   1.736e-16                   3.766e-15                   2.098e-15                   1.420e-15                   7.521e-16                   5.304e-16                   3.205e-16                   8.949e-18                   4.282e-19                   1.786e-19                   1.208e-18                   1.293e-16                   4.797e-17                   2.627e-18                   9.497e-18                   3.933e-17                   2.203e-17                   7.066e-18                   6.473e-18                   5.017e-18                   1.094e-17                   6.656e-18
1.837e+00                   8.943e-14                   1.188e-19                   8.135e-22                   2.936e-15                   1.802e-16                   3.891e-15                   2.185e-15                   1.483e-15                   8.036e-16                   5.744e-16                   3.586e-16                   1.348e-17                   6.088e-19                   2.808e-19                   1.990e-18                   1.484e-16                   5.639e-17                   3.504e-18                   1.278e-17                   5.270e-17                   3.006e-17                   9.662e-18                   8.908e-18                   6.933e-18                   1.521e-17                   9.225e-18
1.981e+00                   9.239e-14                   2.086e-19                   1.650e-21                   3.030e-15                   1.873e-16                   3.990e-15                   2.253e-15                   1.533e-15                   8.487e-16                   6.142e-16                   3.944e-16                   1.939e-17                   8.349e-19                   4.206e-19                   3.112e-18                   1.670e-16                   6.476e-17                   4.517e-18                   1.661e-17                   6.819e-17                   3.958e-17                   1.274e-17                   1.182e-17                   9.234e-18                   2.038e-17                   1.231e-17
2.133e+00                   9.546e-14                   3.477e-19                   3.129e-21                   3.115e-15                   1.956e-16                   4.070e-15                   2.315e-15                   1.580e-15                   8.914e-16                   6.518e-16                   4.286e-16                   2.692e-17                   1.101e-18                   6.069e-19                   4.672e-18                   1.852e-16                   7.314e-17                   5.681e-18                   2.104e-17                   8.598e-17                   5.076e-17                   1.635e-17                   1.526e-17                   1.196e-17                   2.655e-17                   1.596e-17
2.291e+00                   9.847e-14                   5.504e-19                   5.566e-21                   3.179e-15                   2.040e-16                   4.132e-15                   2.360e-15                   1.613e-15                   9.248e-16                   6.827e-16                   4.585e-16                   3.599e-17                   1.384e-18                   8.420e-19                   6.725e-18                   2.017e-16                   8.089e-17                   6.946e-18                   2.590e-17                   1.053e-16                   6.321e-17                   2.037e-17                   1.911e-17                   1.502e-17                   3.356e-17                   2.006e-17
2.452e+00                   1.015e-13                   8.387e-19                   9.423e-21                   3.231e-15                   2.130e-16                   4.173e-15                   2.394e-15                   1.638e-15                   9.534e-16                   7.100e-16                   4.867e-16                   4.692e-17                   1.749e-18                   1.137e-18                   9.401e-18                   2.179e-16                   8.869e-17                   8.346e-18                   3.132e-17                   1.267e-16                   7.727e-17                   2.491e-17                   2.348e-17                   1.851e-17                   4.160e-17                   2.471e-17
2.615e+00                   1.045e-13                   1.229e-18                   1.520e-20                   3.270e-15                   2.222e-16                   4.199e-15                   2.421e-15                   1.658e-15                   9.778e-16                   7.338e-16                   5.102e-16                   5.948e-17                   2.123e-18                   1.491e-18                   1.273e-17                   2.313e-16                   9.534e-17                   9.822e-18                   3.707e-17                   1.492e-16                   9.241e-17                   2.978e-17                   2.821e-17                   2.228e-17                   5.040e-17                   2.974e-17
2.779e+00                   1.074e-13                   1.747e-18                   2.361e-20                   3.298e-15                   2.317e-16                   4.216e-15                   2.438e-15                   1.671e-15                   9.960e-16                   7.528e-16                   5.310e-16                   7.386e-17                   2.540e-18                   1.912e-18                   1.684e-17                   2.445e-16                   1.021e-16                   1.139e-17                   4.322e-17                   1.730e-16                   1.088e-16                   3.505e-17                   3.335e-17                   2.639e-17                   6.009e-17                   3.520e-17
2.941e+00                   1.102e-13                   2.418e-18                   3.540e-20                   3.314e-15                   2.412e-16                   4.218e-15                   2.444e-15                   1.676e-15                   1.009e-15                   7.670e-16                   5.498e-16                   9.005e-17                   2.933e-18                   2.405e-18                   2.180e-17                   2.566e-16                   1.079e-16                   1.305e-17                   4.973e-17                   1.980e-16                   1.264e-16                   4.067e-17                   3.887e-17                   3.081e-17                   7.061e-17                   4.105e-17
3.101e+00                   1.129e-13                   3.259e-18                   5.139e-20                   3.320e-15                   2.504e-16                   4.206e-15                   2.445e-15                   1.677e-15                   1.018e-15                   7.783e-16                   5.654e-16                   1.078e-16                   3.449e-18                   2.965e-18                   2.762e-17                   2.665e-16                   1.130e-16                   1.474e-17                   5.643e-17                   2.235e-16                   1.448e-16                   4.653e-17                   4.464e-17                   3.543e-17                   8.176e-17                   4.715e-17
3.259e+00                   1.153e-13                   4.293e-18                   7.250e-20                   3.315e-15                   2.596e-16                   4.179e-15                   2.435e-15                   1.672e-15                   1.023e-15                   7.866e-16                   5.773e-16                   1.269e-16                   3.933e-18                   3.595e-18                   3.437e-17                   2.748e-16                   1.176e-16                   1.645e-17                   6.328e-17                   2.493e-16                   1.637e-16                   5.256e-17                   5.061e-17                   4.023e-17                   9.344e-17                   5.345e-17
3.412e+00                   1.178e-13                   5.558e-18                   1.000e-19                   3.306e-15                   2.690e-16                   4.151e-15                   2.420e-15                   1.663e-15                   1.030e-15                   7.948e-16                   5.876e-16                   1.478e-16                   4.443e-18                   4.303e-18                   4.219e-17                   2.824e-16                   1.219e-16                   1.824e-17                   7.041e-17                   2.759e-16                   1.837e-16                   5.890e-17                   5.690e-17                   4.528e-17                   1.059e-16                   6.007e-17
